Indicator,Year,Amount,Category
Total Reserves and Surplus,2004,10.64,Equity
Minority Interest,2004,80.07,Other
Long Term Borrowings,2004,441.18,Borrowings
Long Term Provisions,2004,0.0,Liabilities
Short Term Borrowings,2004,0.0,Borrowings
Trade Payables,2004,0.0,Liabilities
Short Term Provisions,2004,17.58,Liabilities
Capital Work-In-Progress,2004,2.07,Other
Long Term Loans And Advances,2004,0.0,Borrowings
Inventories,2004,18.48,Other
Trade Receivables,2004,186.49,Assets
Cash And Cash Equivalents,2004,27.77,Assets
Short Term Loans And Advances,2004,147.63,Borrowings
Bonus Equity Share Capital,2004,0.0,Equity
